TITULO,AUTOR,ARMARIO,PRATILEIRA
O LIVRO DOS ESP RITOS,SALVADOR GENTILI,1,A
O PRINCIPIANTE ESP RITA,ALLAN KARDEC,1,B
O EVANGELHO SEGUNDO O ESPIRITISMO,ALLAN KARDEC,1,A
O EVANGELHO SEGUNDO O ESPIRITISMO,ALLAN KARDEC,2,B
O LIVRO DOS MEDIUNS,ALLAN KARDEC,1,A
O LIVRO DOS M DIUNS,ALLAN KARDEC,5,D
O C U E O INFERNO,ALLAN KARDEC,1,B
OBRAS P STUMAS,ALLAN KARDEC,2,B
O QUE   O ESPIRITISMO,ALLAN KARDEC,1,B
VIAGEM ESP RITA EM 1862,ALLAN KARDEC,1,B
CONVERSANDO SOBRE MEDIUNIDADE,ABEL GLASER,1,B
EUST QUIO QUINZE S CULOS DE UMA TRAJET RIA,ABEL GLASER,1,B
FUNDAMENTOS DA REFORMA  NTIMA,ABEL GLASER,1,B
GERRA NO AL M,ABEL GLASER,1,B
O C TICO,JOS  BENTO,1,B
FLAGRANTES DE LUZ,ADDE AGUIAR DE ALMEIDA,1,B
JOIAS DA ALMA,ADEILSON SALLES,1,B
O HOMEM QUE HOUVIA ESTRELAS,EDEILSON SALLES,1,B
"CHICO, DE FRANCISCO",ADELINO DA SILVEIRA,1,B
A LOUCURA SOB NOVO PRISMA,ADOLFO BEZERRA DE MENEZES,1,B
O SIS SERTANEJO,AGNALDO CARDOSO,1,B
INTERC MBIO,LUIZ S RGIO,1,B
NOVAS MENSAGENS,ALAYDE DE ASSUN  O E SILVA,1,B
BEM AVENTURADOS OS QUE ORAM,ALBERTO DE SOUZA ROCHA,1,B
E TUDO SE REPETE,ALCIENE MARIA,1,B
ANIMISMO E ESPIRITISMO,ALEXANDRE AKSAKOF,1,B
UM CASO DE DESMATERIALIZA  O,ALEXANDRE AKSAKOF,1,B
PSICOTERAPIA   LUA DO EVANGELHO DE JESUS,AL RIO DE CERQUEIRA FILHO,1,B
SA DE DAS RELA  ES FAMILIARES,AL RIO DE CERQUEIRA FILHO,1,B
ANT NIO DE P DUA,ALMERINDO MARTINS DE CASTRO,1,B
O MART RIO DOS SUICIDAS,ALMERINDO MARTINS DE CASTRO,1,B
CASSIO VOLTOU,ALTIVA GL RIA FONSECA NORONHA,1,B
O PEREGRINO DO SENHOR,ALTIVA GL RIA FONSECA NORONHA,1,B
"EU, VOC  E AS ESTRELAS", LVARO BASILE PORTUGHESI,1,B
POR MUITO TE AMAR, LVARO BASILE PORTUGHESI,1,B
MEM RIAS DO PADRE GERMANO,AM LIA DOMINGO SOLER,6,E
PALAVRAS DO ALVORECER,AM LIA DOMINGO SOLER,1,C
PERDOO-TE,AM LIA DOMINGOS Y SOLER -  RIS,1,D
REENCARNA  O E VIDA,AM LIA DOMINGO SOLER,1,C
OS FUNERAIS DA SANTA S ,AM RICA DELGADO,1,C
O QUARTO CRESCENTE,ANA CRISTINA VARGAS,1,C
ESCULPINDO O PR PRIO DESTINO,ANDR  LUIZ RUIZ,1,C
SOB AS M OS DA MISERIC RDIA,ANDR  LUIZ RUIZ,1,C
JESUS   O CAMINHO,ANDR  LUIZ RUIZ,1,C
HERDEIROS DO NOVO MUNDO,ANDR  LUIZ RUIZ,1,C
H  FLORES SOBRE AS PEDRAS,ANDR  LUIZ RUIZ,1,C
COMO DEUS PODE MUDAR SUA MENTE,DR. ANDREW NEWBWERG & MARK ROBERT WALDMAN,1,C
COL NIA FLORESCER,ANGELA COUTINHO,1,C
A GRANDE VIAGEM,ANITA GODOY,1,C
AMOR,ANITA GODOY,1,C
EST  ESCRITO,ANITA GODOY,1,C
MULHERES VALENTES,ANITA GODOY,1,C
OS ANJOS DE FELIPE,ANITA GODOY,1,C
SEJA  GUIA,ANITA GODOY,1,C
TRABALHO ALIMENTO DA ALMA,ANITA GODOY,1,C
VEMPRARUA,ANITA GODOY,1,C
ENTRE DOIS MUNDOS,ANTOINETTE BOURDIN,6,D
MEM RIAS DA LOUCURA,ANTOINETTE BOURDIN,1,C
CALV RIO REDENTOR,ANTONIETA V. MEYER - JOS  EUCL DES,1,C
DUAS VIDAS,ANTONIETA V. MEYER - VIRG NIA,1,C
SUPREMO RESGATE,ANTONIETA V. MEYER - IGN CIO,1,C
TRAGET RIA DE UMA ALMA,ANTONIETA V. MEYER - PADRE JOS ,1,C
DECIS O,ANT NIO BADUY FILHO,1,C
DEPOIMENTOS SOBRE CHICO XAVIER,ANTONIO CESAR PERRI DE CARVALHO - OCEANO VIEIRA DE MELO,1,C
OS S BIOS E A SRA. PIPER,ANTONIO C SAR PERRI DE CARVALHO,1,C
A FONTE DA  GUA DA VIDA,ANTONIO DEMARCHI,1,C
O FILHO PR DIGO,ANTONIO DEMARCHI - IRM O VIRG LIO,1,C
PERSONAGENS DO ESPIRITISMO,ANTONIO DE SOUZA LUCENA - PAULO ALVES GODOY,1,C
COMO VIVEM OS ESP RITOS,ANTONIO FERNANDES RODRIGUES,1,C
CI NCIA E ESPIRITISMO,ANTONIO J. FREIRE,1,C
A CAMINHO DO ABISMO,ANT NIO LIMA,1,C
ESTRADA DE DAMASCO,ANT NIO LIMA,1,C
VIDA DE JESUS,ANT NIO LIMA,1,C
O ENCONTRO DOS OITO,ANT NIO L CIO,1,C
ELUCIDA  ES EVANG LICAS,ANT NIO LUIZ SAY O,6,D
CONFER NCIAS ESP RITAS NA EUROPA,ARISTON SANTANA TELES,1,C
O M DIUM DOM BOSCO,ARISTON SANTANA TELES,1,C
SINTESE DO ESPIRITISMO,ARISTON SANTANA TELES,1,C
JORNADAS DE REDEN  O,ARMANDO FERNANDES DE OLIVEIRA,1,C
O ENIGMA DAS LETRAS,ARMANDO FERNANDES DE OLIVEIRA,1,C
A NOVA REVELA  O,ARTHUR CONAN DOYLE,1,C
A MORTE N O   O FIM,ASSIS AZEVEDO,1,C
O MESTRE DOS MESTRES,AUGUSTO CURY,1,C
CABOCLOS  NDIOS,AURELIANO ALVES NETTO,1,C
SESS E PR TICAS E DOUTRIN RIAS DO ESPIRITISMO,AUR LIO A. VALENTE,1,C
UM NOVO OLHAR SOBRE O EVANGELHO,BEATRIZ PALMA DE CARVALHO PEREIRA,1,D
NA VIDA E NA MORTE,BENTA MARIA CROFFI - OZ RIO TAVARES,1,D
EVANGELHO DO FUTURO,BEZERRA DE MENEZES - MAX,1,D
A CURA ATRAV S DA TERAPIA DE VIDAS PASSADAS,BRIAN L. WEISS. M.D.,1,D
MUITAS VIDAS MUITOS MESTRES,"BRIAN L. WEISS, M. D.",1,D
CR NICAS SOBRE A VIDA E SUA FILOSOFIA ESPIRITUAL,BRUNO BERTOCCO,1,D
ALVORADA NOVA,ABEL GLASER,1,B
M DIUNS E MEDUINIDADE,CAIRBAR SCHUTEL,1,D
A VIDA DOS AP STOLOS,CAIRBAR SCHUTEL,6,D
AS CASAS MAL ASSOMBRADAS,CAMILLE FLAMMARION,1,D
ESTELA,CAMILLE FLAMMARION,1,D
NARRA  ES DO INFINITO,CAMILLE FLAMMARION,6,D
O DESCONHECIDO E OS PROBLEMAS PS QUICOS,CAMILLE FLAMMARION,1,D
O FIM DO MUNDO,ALLAN KARDEC,1,D
BEZERRA DE MENEZES,CANUTO ABREU,1,D
A CORAGEM DA F ,CARLOS ANTONIO BACCELLI - BEZERRA DE MENEZES,1,D
A ESCADA DE JAC ,CARLOS ANTONIO BACCELLI - IN CIO FERREIRA,1,D
CHICO E EMMANUEL,CARLOS ANTONIO BACCELLI,1,D
CHICO XAVIER MEDIUNIDADE E PAZ,CARLOS ANTONIO BACCELLI,1,D
CHICO XAVIER RESPONDE,CARLOS ANTONIO BACCELLI - FRANCISCO C NDIDO XAVIER,1,D
CONVERSANDO COM OS M DIUNS,CARLOS ANT NIO BACCELLI ODILON FERNANDES,1,D
DI LOGOS COM DR. IN CIO,CARLOS ANT NIO BACCELLI,1,D
DIVALDO FRANCO EM UBERABA,"CARLOS ANT NIO BACCELLI, DIVALDO P. FRANCO",2,A
ENTRE A SOMBRA E A LUZ,CARLOS ANT NIO BACCELLI,1,D
ESP RITOS ELEMENTAIS,CARLOS ANT NIO BACCELLI,1,D
FALANDO DE MEDIUNIDADE,CARLOS ANT NIO BACCELLI ODILON FERNANDES,1,D
MEDIUNIDADE E CAMINHO,CARLOS ANT NIO BACCELLI ODILON FERNANDES,1,D
MEDIUNIDADE E DOUTRINA,CARLOS ANT NIO BACCELLI ODILON FERNANDES,1,D
MEDIUNIDADE E EVANGELHO,CARLOS ANT NIO BACCELLI ODILON FERNANDES,1,D
MEDIUNDADE E OBSESS O,CARLOS ANTONIO BACCELLI - ODILON FERNANDES,1,E
NO MUNDO DA MEDIUNIDADE,CARLOS ANT NIO BACCELLI,6,E
O ESP RITO DE CHICO XAVIER,CARLOS ANTONIO BACCELLI - FRANCISCO C NDIDO XAVIER,1,E
PRECES E ORA  ES,CARLOS ANT NIO BACCELLI,1,D
RAMOS DA VIDEIRA,CARLOS ANTONIO BACCELLI - IRM O JOS ,1,E
SEARA DE LUZ,CARLOS ANTONIO BACCELLI - IRM O JOS ,1,E
SOB AS SINZAS DO TEMPO,CARLOS ANTONIO BACCELLI - IN CIO FERREIRA,1,E
A VIS O ESP RITA DO SONO E DOS SONHOS,CARLOS BERNARDO LOUREIRO,1,D
O T NEL E A LUZ,CARLOS BERNARDO LOUREIRO,1,D
A MEDIUNIDADE E A LEI,CARLOS IMBASSAHY,1,D
"NFTATH, A RAINHA REENCARNADA",CARLOS DE BRITO IMBASSAHY,1,E
O QUE   A MORTE,CARLOS IMBASSAHY,1,E
GRAVIDEZ E PARANORMALIDADE,CARL JONES,1,E
EVOLU  O PARA O TERCEIRO MIL NIO,CARLOS TOLEDO RIZZINI,1,E
FRONTEIRAS DO ESPIRITISMO E DA CI NCIA,CARLOS TOLEDO RIZZINI,1,E
O AMOR ME TROUXE DE VOLTA,CAROL BOWMAN,1,D
CARMEN DE SEVILHA,CAROLINE DE  VILA,1,D
UMA AJUDA L  DE L  CIMA,CATHERINE LANIGAN,1,D
MERGULHANDO NO MAR DE AMOR,C SAR SOARES DOS REIS,1,D
O BEIJO DA MORTA,CELESTINA ARRUDA LANZA,1,D
A ETERNA MENSAGEM DO MONTE,C LIA XAVIER DE CAMARGO,1,D
AVES SEM NINHO,C LIA XAVIER DE CAMARGO - J SUS GON ALVES,1,E
EM BUSCA DA ILUS O,C LIA XAVIER DE CAMARGO,1,E
MAS O DOS LILASES,CELIA XAVIER DE CAMARGO - L ON TOLSTOI,1,E
OS SINOS TOCAM,C LIA XAVIER DE CAMARGO - ERICK,1,E
PERDOA !...,CELIA XAVIER DE CAMARGO - JESUS GON ALVES,1,E
S  O AMOR LIBERTA,C LIA XAVIER DE CAMARGO - PAULO HERTZ,1,E
DEFICI NCIAS F SICAS E MENTAIS ,CELSO MARTINS,1,E
NOVOS TEMPOS,CELSO MARTINS SYLVIO XAVIER RODRIGUES DE CAMARGO,1,E
PONTO DE ENCONTRO,CELSO MARTINS,1,E
RECORDANDO DEOLINDO AMORIM,CELSO MARTINS,1,E
CONVERSA COM A VIDA,CENYRA PINTO,1,E
A RAZ O DA VIDA,CESAR ROM O,1,E
TR S ESP RITOS DO NATAL,CHARLES DICKENS,1,E
NO LIMIAR DO MIST RIO,CHARLES RICHET,1,E
O PRETORIANO,CHRISTINA NUNES,1,E
LUZ DO INFINITO,CL VIS RAMOS,1,E
50 ANOS DE PARNASO,CL VIS RAMOS,1,E
A BARCA DE GENESAR ,CL VIS RAMOS,1,E
AMOR E SABEDORIA DE EMMANUEL,CLOVIS TAVARES,1,E
DE JESUS PARA OS QUE SOFREM,CLOVIS TAVARES,1,E
HUMBERTO DE CAMPOS E O ESPIRITISMO,CL VIS RAMOS,1,E
O PERFUME DO EVANGELHO,CL VIS RAMOS,1,E
O REINO N O DIVIDIDO,CL VIS RAMOS,1,E
TRINTA ANOS COM CHICO XAVIER,CLOVIS TAVARES,1,E
V TIMAS DO PRECONCEITO,CODRO PALISSY,1,E
A GRANDE ESPERA,CORINA NOVELINO - EUR PEDES BARSANULFO,1,E
"ESCUTA, MEU FILHO...",CORINA NOVELINO,1,E
EUR PEDES O HOMEM E A MISS O,CORINA NOVELINO,1,E
A LUZ QUE VEM DO CORA  O,CIRSTINA CENSON - DANIEL,1,E
O HOMEM VIS VEL E INVIS VEL,E.W LEADBEATER,1,E
NA MEDIDA CERTA,"DALVA SOUZA,  LEILA BRAND O",2,A
PARA UM MUNDO NOVO HOMENS NOVOS,DEMETRE ABRA O NAMI,2,A
CONHECIMENTO E FAM LIA,DINOR  FRAGA DA SILVA E OUTROS,2,A
ADOLESC NCIA E VIDA,DIVALDO FRANCO PEREIRA FRANCO,2,A
CONVITES DA VIDA,DIVALDO FRANCO PEREIRA FRANCO,2,A
EM LOUVOR   VIDA,"DIVALDO PEREIRA FRANCO, ANT NIO C SAR",2,A
FLORIL GIOS ESPIRITUAIS,DIVALDO FRANCO PEREIRA FRANCO,2,A
JESUS E O EVANGELHO:   LUZ DA PSICOLOGIA,DIVALDO FRANCO PEREIRA FRANCO,2,A
AT  O FIM DOS TEMPOS,DIVALDO FRANCO PEREIRA FRANCO,2,A
  LUZ DO ESPIRITISMO,"DIVALDO FRANCO PEREIRA FRANCO, VIANNA DE CARVALHO",2,A
AMOR IMBAT VEL AMOR,DIVALDO FRANCO PEREIRA FRANCO,2,A
ANTOLOGIA ESPIRITUAL,DIVALDO FRANCO PEREIRA FRANCO,2,A
 RDUA ASCENS O,DIVALDO FRANCO PEREIRA FRANCO,2,A
AS SETE LEIS ESPIRITUAIS DO SUCESSO,DEEPAK CHOPRA,2,A
AUTO DESCOBRIMENTO,DIVALDO FRANCO PEREIRA FRANCO,2,A
CELEIRO DE BEN  OS,DIVALDO FRANCO PEREIRA FRANCO,2,A
COMPROMISSOS ILUMINATIVOS,DIVALDO FRANCO PEREIRA FRANCO,2,A
CRESTOMANIA DA IMORTALIDADE,DIVALDO FRANCO PEREIRA FRANCO,2,A
DESPERTE E SEJA FELIZ,DIVALDO FRANCO PEREIRA FRANCO,2,A
DIRETRIZES DE SEGURAN A: UM DI LOGO EM TORNO DE MULTIPLAS,DIVALDO FRANCO - RAUL TEIXEIRA,2,B
DIVALDO FRANCO E O JOVEM,D CIO CARLOS DIVALDO FERREIRA FRANCO,2,A
EM NOME DO AMOR,DIVALDO FRANCO PEREIRA FRANCO,2,A
ENTREVISTA E LI  ES,DIVALDO FRANCO PEREIRA FRANCO,2,A
ESPELHO DA ALMA,DIVALDO FRANCO PEREIRA FRANCO,2,A
ESTUDOS ESP RITAS,DIVALDO FRANCO PEREIRA FRANCO,2,A
FILIGRANAS DE LUZ,DIVALDO FRANCO PEREIRA FRANCO,2,A
GARIMPO DE AMOR,DIVALDO FRANCO PEREIRA FRANCO,2,A
GRILH ES PARTIDOS,DIVALDO FRANCO PEREIRA FRANCO,2,A
IMPERMAN NCIA E IMORTA IDADE,DIVALDO FRANCO PEREIRA FRANCO,2,A
INTERC MBIO,DIVALDO FRANCO PEREIRA FRANCO,2,A
JOANNA DE  NGELIS RESPONDE,DIVALDO FRANCO PEREIRA FRANCO,2,A
LEGADO KARDEQUIANO,DIVALDO FRANCO PEREIRA FRANCO,2,A
LEIS MORAIS DA VIDA,DIVALDO FRANCO PEREIRA FRANCO,2,A
LIBERTA-TE DO MAL,DIVALDO FRANCO - JOANNA DE  NGELIS,2,B
LOUCURA E OBSESS O,DIVALDO FRANCO PEREIRA FRANCO,2,A
LUZ DA ESPERAN A,DIVALDO FRANCO PEREIRA FRANCO,2,A
LUZ DO MUNDO,DIVALDO FRANCO PEREIRA FRANCO,2,A
MOMENTOS DE DECIS O,DIVALDO FRANCO PEREIRA FRANCO,2,A
NOS BASTIDORES DA OBSESS O,DIVALDO FRANCO PEREIRA FRANCO,2,A
O HOMEM INTEGRAL ,DIVALDO FRANCO PEREIRA FRANCO,2,A
UM ENCONTRO COM JESUS,DIVALDO FRANCO PEREIRA FRANCO,2,A
P RIAS EM REDEN  O,DIVALDO FRANCO PEREIRA FRANCO,2,A
PELOS CAMINHOS DE JESUS,DIVALDO FRANCO PEREIRA FRANCO,2,A
PRIM CIAS DO REINO,DIVALDO FRANCO PEREIRA FRANCO,2,A
RUMO  S ESTRELAS,DIVALDO FRANCO PEREIRA FRANCO,2,A
RUMOS LIBERTADORES,DIVALDO FRANCO PEREIRA FRANCO,2,A
SEARA DO BEM,DIVALDO FRANCO PEREIRA FRANCO,2,A
SEXO CONSCI NCIA,DIVALDO FRANCO PEREIRA FRANCO,2,A
SEXO E OBSESS O,DIVALDO PEREIRA FRANCO - MANOEL PHILOMENO DE MIRANDA,2,B
S.O.S. FAM LIA,DIVALDO PEREIRA FRANCO - JOANA DE  NGELIS E OUTROS ESP RITOS,2,B
SUBLIME EXPIA  O,DIVALDO PEREIRA FRANCO - VICTOR HUGO,2,B
TEMAS DA VIDA E DA MORTE,DIVALDO PEREIRA FRANCO - MANOEL PHILOMENO DE MIRANDA,2,B
TORMENTOS DA OBSESS O,DIVALDO PEREIRA FRANCO - MANOEL PHILOMENO DE MIRANDA,2,B
TRAMAS DO DESTINO,DIVALDO PEREIRA FRANCO - MANOEL PHILOMENO DE MIRANDA,2,B
TRANSI  O PLANET RIA,DIVALDO PEREIRA FRANCO - MANOEL PHILOMENO DE MIRANDA,2,B
TRIGO DE DEUS,DIVALDO PEREIRA FRANCO - AM LIA RODRIGUES,2,B
A MANS O RENOIR,DOLORES BACELAR - ALFREDO,6,E
 S MARGENS DO EUFRATES,DOLORES BARCELAR - JOSEPHO,2,B
MESOPOT MIA,DOLORES BACELAR - ALFREDO,7,A
NOS RASTROS DO ETERNO,DOM RIO DE OLIVEIRA,2,B
H  PODER EM SUAS PALAVRAS,DON GOSSETT,2,B
ROMA E O EVANGELHO,D. JOS  AMIG  Y PELL CER,2,B
O ROS RIO DE CORAL,DR. A. WYLM,2,B
PSIQUIATRIA EM FACE DA REENCARNA  O,DR. IN CIO FERREIRA,2,B
O MEU CONSULT RIO PSIQUI TRICO,DR. ROBERTO SILVEIRA (ORIENTA  O CHICO XAVIER),2,B
CAMINHO DA ETERNIDADE,DULCE MIZRAHY KOGAN,2,B
VIDA EM OUTROS PLANETAS,DULC DIO DIBO,2,B
A EVOLU  O DO PRINC PIO INTELIGENTE,DURVAL CIAMPONI,2,B
A DUPLA PERSONALIDADE,EDGARD ARMOND,2,B
MEDIUNIDADE,EDGARD ARMOND,2,B
NA SEMEADURA,EDGARD ARMOND,2,B
OS EXILADOS DE CAPELA,EDGARD ARMOND,2,B
PASSES E RADIA  ES,EDGAR ARMOND,2,C
TRABALHOS PR TICOS DE ESPIRITISMO,EDGAR ARMOND,2,C
ROMANCE ANDALUZ,EDSON CARNEIRO,2,C
VIDA E OBRA DE ALLAN KARDEC,EDSON AUDI,7,B
"AIDS, VACINAS DE ESPERAN A TERAP UTICAS DE PAZ",EDSON GABRIEL,2,C
A EXTRAORDIN RIA VIDA DE J SUS GON ALVES,EDUARDO CARVALHO MONTEIRO,2,C
CAIRBAR SCHUTEL: O BANDEIRANTE DO ESPIRITISMO,"EDUARDO MONTEIRO, WILSON GARCIA",2,C
CHICO XAVIER,EDUARDO CARVALHO MONTEIRO,2,C
U.S.E. 50 ANOS DE UNIFICA  O,"EDUARDO CARVALHO MONTEIRO, NATALINO D OLIVO",2,C
MOVIDA PELA AMBIA  O,ELIANA MACHADO COELHO,2,C
SEM REGRAS PARA AMAR,ELIANA MACHADO COELHO,2,C
UM DI RIO NO TEMPO,ELIANA MACHADO COELHO,6,E
UM MOTIVO PARA VIVER,ELIANA MACHADO COELHO,6,E
VICTOR HUGO E SEUS FANTASMAS,EDUARDO CARVALHO MONTEIRO,2,C
NO MUNDO DE CHICO XAVIER,ELIAS BARBOSA,2,C
PRESEN A DE CHICO XAVIER,ELIAS BARBOSA,2,C
MIR TA,ELIAS SAUVAGE,2,C
NO PA S DAS SOMBRAS,ELISABETH D ESP RANCE,2,C
PENA DE MORTE E CRIMES HEDIONDOS,ELISEU F. MOTA JUNIOR,2,C
52 LI  ES DE CATECISMO ESP RITA,ELISEU RIGONATTI,2,C
A MEDIUNIDADE SEM L GRIMAS,ELISEU RIGONATTI,2,C
O EVANGELHO DOS HUMILDES,ELISEU RIGONATTI,2,C
ACONTECEU NA CASA ESP RITA,EMANUEL CRISTIANO - NORA,2,C
BASTIDORES DA MEDIUNIDADE,EMMANUEL CRISTIANO,2,C
A JANELA DO MEIO,ELISABETH GOUDGE,2,C
CONVEN  O DO AMOR,ENOQUE FORTE DE ALBUQUERQUE,2,C
ANIMISMO OU ESPIRITISMO?,ERNESTO BOZZANO,2,C
COMUNICA  ES MEDI NICAS ENTRE OS VIVOS,ERNESTO BOZZANO,2,C
FEN MENOS DE TRANSPORTE,ERNESTO BOZZANO,2,C
LITERATURA DE AL M-T MULO,ERNESTO BOZZANO,2,C
METAPS QUICA HUMANA,ERNESTO BOZZANO,2,C
SUPERANDO A ANSIEDADE,EUL LIA BUENO,2,C
CENTELHAS DA VIDA,EUR PEDES FORMIGA,2,C
DOR E LUZ,CARLOS ANT NIO BACCELLI,1,D
LUZ NA MADRUGADA,EUR CLIDES FORMIGA,2,C
"OL , AMIGOS",EUR CLIDES FORMIGA,2,C
MOTOQUEIROS NO AL M,EDUARDO CARVALHO MONTEIRO,2,C
ANIMAIS NOSSOS IRM OS,EUR PEDES KUHL,2,C
FRAGMENTOS DA HIST RIA,EUR PEDES KUHL,2,C
"JOGO, MERGULHO NO VULC O",EUR PEDES KUHL,2,C
O QUARTEL E O TEMPLO,EUR PEDES KUHL,2,C
SEMPRE H  UMA ESPERAN A,EUR PEDES KUHL - ROBOELS,2,C
TR FICO DOLOROSO RESGATE,EUR PEDES K HL,2,C
TRANSPLANTE DE AMOR,EUR PEDES K HL,2,C
VOLTOU MAS ESQUECEU,FLORENCE L. BARCLAY,2,D
BEZERA DE MENEZES O M DICO DOS POBRES,FRANCISCO ACQUARONE,2,D
IMITA  O DO EVANGELHO,FARIDE MOUTRAN,2,D
MEM RIAS DE UMA PAIX O,F TIMA ARNOLDE,2,D
VENCENDO AS BARREIRAS DO INFINITO,F TIMA MOURA,2,D
A DOR DO MEU DESTINO,FERNANDO DO  ,2,D
ALGU M CHOROU POR MIM,FERNANDO DO  ,7,A
APENAS UM SOMBRA DE MULHER,FERNANDO DO  ,2,D
E AS VOZES FALAM,FERNANDO DO  ,2,D
MARTA,FERNANDO DO  ,2,D
UMA LUZ NO MEU CAMINHO,FERNANDO DO  ,2,D
A IMENSID O DOS SENTIDOS,FRANCISCO DO ESP RITO SANTO NETO,2,D
AMAR TAMB M SE APRENDE,FRANCISCO DO ESP RITO SANTO NETO,2,D
UM MODO DE ENTENDER,FRANCISCO DO ESP RITO SANTO,2,D
ESPERANTO SEM MESTRE,FRANCISCO VALDOMIRO LORENZ,2,D
DO CALV RIO AO APOCALIPSE,FREDERICO PEREIRA J NIOR - BITTENCOURT SAMPAIO,2,D
MISSION RIOS DA LUZ,FRANCISCO C NDIDO XAVIER - ANDR  LUIZ,7,A
OBREIROS DA VIDA ETERNA,FRANCISCO C NDIDO XAVIER - ANDR  LUIZ,5,D
NO MUNDO MAIOR,FRANCISCO C NDIDO XAVIER - ANDR  LUIZ,5,D
ENTRE A TERRA E O C U,FRANCISCO C NDIDO XAVIER - ANDR  LUIZ,5,D
NOS DOM NIOS DA MEDIUNIDADE,FRANCISCO C NDIDO XAVIER - ANDR  LUIZ,5,D
CONDUTA ESP RITA,WALDO VIEIRA ,4,E
EVOLU  O EM DOIS MUNDOS,FRANCISCO C NDIDO XAVIER - WALDO VIEIRA,5,D
MECANISMOS DA MEDIUNIDADE,FRANCISCO C NDIDO XAVIER/WALDO VIEIRA,5,D
SEXO E DESTINO,FRANCISCO C NDIDO XAVIER E WALDO VIEIRA - ANDR  LUIZ,2,B
SEXO E DESTINO,FRANCISCO C NDIDO XAVIER/WALDO VIEIRA,5,D
DESOBSESS O,FRANCISCO C NDIDO XAVIER/WALDO VIEIRA,5,C
E A VIDA CONTINUA,FRANCISCO C NDIDO XAVIER - EMMANUEL,7,A
